version,caseid,profile_gender,profile_age,profile_racethnicity,profile_educ5,profile_marital,profile_employ,profile_income,profile_state,profile_region4,profile_region9,profile_metro,profile_internet,profile_housing,profile_home_type,profile_phoneservice,profile_hhsize,profile_hh01,profile_hh25,profile_hh612,profile_hh1317,profile_hh18ov,profile_genhealth,profile_veteran,profile_lgbt,profile_relig,profile_born,profile_lang_other1,profile_newstv,profile_newsradio,profile_newsonline,profile_newsmobile,profile_newskeepup,profile_socmedia1_t,profile_socmedia1_f,profile_socmedia1_i,profile_socmedia1_s,profile_socmedia2_t,profile_socmedia2_f,profile_socmedia2_i,profile_socmedia2_s,profile_hl032,w1congdist,w2congdist,vote20d1
ANES 2020-22 Social Media Study 20230705,29,1,35,1,3,5,6,5,TN,3,6,1,1,2,2,5,1,0,0,0,0,1,3,1,2,11,-1,2,2,2,1,2,2,1,1,1,2,2,2,2,-1,2,TN - Congressional District 1,-6,1
ANES 2020-22 Social Media Study 20230705,30,1,63,2,2,5,1,10,MA,1,1,1,1,1,1,2,6,0,0,0,0,4,5,2,2,12,1,-1,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,MA - Congressional District 7,-6,2
ANES 2020-22 Social Media Study 20230705,31,1,71,1,5,3,1,17,PA,1,2,1,1,1,2,4,1,0,0,0,0,1,4,2,2,10,-1,2,2,2,1,1,4,1,1,1,2,1,2,1,-1,1,PA - Congressional District 11,PA - Congressional District 11,1
ANES 2020-22 Social Media Study 20230705,32,1,64,2,2,1,6,6,NC,3,5,1,1,1,1,2,2,0,0,0,0,2,2,2,2,14,-1,2,1,1,2,2,1,2,2,2,2,-1,-1,-1,-1,1,NC - Congressional District 1,NC - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,33,1,71,1,5,1,5,15,WA,4,9,1,1,1,1,3,3,0,0,0,0,3,5,2,2,14,-1,2,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,WA - Congressional District 8,WA - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,34,1,42,1,4,5,1,6,NE,2,4,1,1,2,3,4,1,0,0,0,0,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,-1,1,-1,-1,1,NE - Congressional District 1,NE - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,35,1,27,4,3,5,4,9,TX,3,7,1,1,1,1,4,4,0,0,0,0,4,4,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,TX - Congressional District 29,TX - Congressional District 29,2
ANES 2020-22 Social Media Study 20230705,36,1,19,2,1,5,1,3,OH,2,3,1,0,2,3,4,5,0,0,0,1,4,4,2,2,11,-1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,OH - Congressional District 1,OH - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,37,2,56,3,2,1,3,10,TN,3,6,1,1,1,1,4,3,0,0,0,0,1,1,2,2,14,2,1,2,2,2,2,3,2,2,2,2,-1,-1,-1,-1,2,TN - Congressional District 2,TN - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,38,1,73,1,2,3,5,5,NC,3,5,1,0,2,3,4,4,0,0,0,0,1,4,1,2,1,2,2,1,2,2,2,1,2,2,2,1,-1,-1,-1,2,2,NC - Congressional District 7,NC - Congressional District 7,1
ANES 2020-22 Social Media Study 20230705,39,1,54,1,2,5,5,10,MT,4,8,1,0,2,2,4,1,0,0,0,0,1,4,2,1,12,2,2,2,2,1,2,4,2,2,2,2,-1,-1,-1,-1,1,MT - Congressional District (at Large),MT - Congressional District (at Large),2
ANES 2020-22 Social Media Study 20230705,40,2,66,2,3,3,5,13,IL,2,3,1,1,2,3,2,2,0,0,0,0,2,4,2,2,1,2,2,1,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,IL - Congressional District 2,IL - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,41,1,62,1,3,2,5,9,FL,3,5,1,1,1,1,2,2,0,0,0,0,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,-1,-1,1,FL - Congressional District 12,FL - Congressional District 12,1
ANES 2020-22 Social Media Study 20230705,42,2,30,1,2,6,4,7,OH,2,3,0,1,1,1,4,6,0,0,0,0,4,5,2,2,11,-1,2,1,1,2,2,4,2,1,2,2,-1,1,-1,-1,1,OH - Congressional District 2,OH - Congressional District 2,4
ANES 2020-22 Social Media Study 20230705,43,1,52,1,4,5,1,10,IN,2,3,1,1,2,3,4,1,0,0,0,0,1,3,2,3,1,2,2,1,1,2,1,1,2,1,2,2,-1,1,-1,-1,1,IN - Congressional District 7,IN - Congressional District 7,2
ANES 2020-22 Social Media Study 20230705,44,2,31,4,2,6,1,11,NY,1,2,1,1,2,3,4,3,0,0,0,0,2,3,2,2,2,2,1,1,1,-7,1,3,1,1,1,2,2,1,1,-1,1,NY - Congressional District 15,NY - Congressional District 15,2
ANES 2020-22 Social Media Study 20230705,45,1,42,1,3,3,1,7,CA,4,9,1,1,2,3,4,2,0,0,0,0,2,3,2,2,12,2,2,1,2,1,1,1,2,1,1,1,-1,1,1,1,1,CA - Congressional District 22,CA - Congressional District 22,2
ANES 2020-22 Social Media Study 20230705,46,1,40,1,4,1,1,13,SC,3,5,0,1,1,1,4,6,0,0,0,0,1,5,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,-1,1,SC - Congressional District 3,SC - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,47,2,32,1,3,1,1,15,TX,3,7,1,1,1,1,4,6,0,3,1,0,3,5,2,2,1,1,-1,2,2,2,2,4,1,1,1,1,-1,-1,-1,-1,1,TX - Congressional District 13,TX - Congressional District 13,3
ANES 2020-22 Social Media Study 20230705,48,1,73,1,4,1,5,14,WI,2,3,0,1,1,1,3,2,0,0,0,0,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,-1,1,-1,-1,1,WI - Congressional District 3,WI - Congressional District 3,2
ANES 2020-22 Social Media Study 20230705,49,2,42,4,2,1,1,6,PA,1,2,1,1,1,1,4,6,0,2,0,3,2,3,2,2,2,2,1,2,1,1,2,2,2,1,2,2,-1,1,-1,-1,1,PA - Congressional District 2,-6,2
ANES 2020-22 Social Media Study 20230705,50,1,57,1,3,1,1,14,CO,4,8,1,1,1,2,2,2,0,0,0,0,2,4,2,2,1,2,2,1,1,2,2,1,2,2,2,2,-1,-1,-1,-1,1,CO - Congressional District 1,CO - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,51,2,48,2,3,5,1,11,NJ,1,2,1,1,1,3,2,1,0,0,0,0,1,3,2,2,11,-1,2,1,1,2,2,2,2,1,2,2,-1,1,-1,-1,1,NJ - Congressional District 2,NJ - Congressional District 2,2
ANES 2020-22 Social Media Study 20230705,52,2,78,1,5,1,5,2,NY,1,2,1,1,1,1,1,2,0,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,-1,-1,-1,-1,1,NY - Congressional District 27,NY - Congressional District 27,3
ANES 2020-22 Social Media Study 20230705,53,1,55,2,3,1,1,18,MO,2,4,1,0,1,3,2,1,0,0,0,0,1,4,2,2,11,-1,1,2,1,1,1,2,2,2,2,2,-1,-1,-1,-1,1,MO - Congressional District 1,MO - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,54,1,37,2,4,1,1,11,MI,2,3,1,1,1,1,4,4,0,0,1,0,3,5,2,2,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,-1,2,MI - Congressional District 13,MI - Congressional District 13,2
ANES 2020-22 Social Media Study 20230705,55,1,70,1,5,5,5,3,NY,1,2,1,1,1,3,3,1,0,0,0,0,1,4,2,2,14,-1,2,1,1,1,2,2,2,2,2,2,-1,-1,-1,-1,1,NY - Congressional District 6,NY - Congressional District 6,2
ANES 2020-22 Social Media Study 20230705,56,2,70,3,3,1,5,11,AZ,4,8,1,1,1,1,2,2,0,0,0,0,2,3,2,2,12,2,2,1,1,2,2,1,2,1,2,2,-1,1,-1,-1,-1,AZ - Congressional District 4,AZ - Congressional District 4,4
ANES 2020-22 Social Media Study 20230705,57,1,47,1,2,4,6,3,MO,2,4,0,0,2,1,4,1,0,0,0,0,1,2,2,2,12,2,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,MO - Congressional District 3,MO - Congressional District 3,2
ANES 2020-22 Social Media Study 20230705,58,2,76,4,2,1,5,11,TX,3,7,1,1,1,1,2,1,0,0,0,0,1,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,TX - Congressional District 31,TX - Congressional District 31,1
ANES 2020-22 Social Media Study 20230705,59,1,68,1,1,1,2,18,NY,1,2,1,1,1,3,2,5,0,0,0,0,4,5,2,5,14,-1,1,2,1,1,2,1,2,2,2,2,-1,-1,-1,-1,1,NY - Congressional District 7,-6,1
ANES 2020-22 Social Media Study 20230705,60,1,67,1,4,1,1,17,MI,2,3,1,1,1,1,3,4,1,1,0,0,2,3,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,-1,-1,1,MI - Congressional District 12,MI - Congressional District 12,2
ANES 2020-22 Social Media Study 20230705,61,2,55,1,3,1,1,11,MA,1,1,1,1,1,1,2,3,0,0,0,0,3,4,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,-1,1,MA - Congressional District 6,MA - Congressional District 6,2
ANES 2020-22 Social Media Study 20230705,62,2,49,1,3,1,2,4,MI,2,3,1,1,1,1,4,2,0,0,0,0,1,2,2,2,14,2,2,2,2,1,2,2,1,1,1,2,1,1,2,-1,1,MI - Congressional District 4,MI - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,63,1,77,1,4,1,2,13,CT,1,1,1,1,1,1,2,2,0,0,0,0,2,5,2,2,9,-1,2,2,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,CT - Congressional District 5,CT - Congressional District 5,1
ANES 2020-22 Social Media Study 20230705,64,1,76,1,3,2,5,9,NY,1,2,1,1,1,3,1,3,0,0,0,1,2,4,2,2,14,-1,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,NY - Congressional District 16,NY - Congressional District 16,1
ANES 2020-22 Social Media Study 20230705,65,1,27,4,3,5,4,7,TX,3,7,1,1,3,1,4,6,0,0,0,0,4,4,2,2,10,-1,2,1,2,2,2,2,1,1,2,2,1,1,-1,-1,2,TX - Congressional District 29,TX - Congressional District 29,2
ANES 2020-22 Social Media Study 20230705,66,1,69,4,4,1,5,13,ME,1,1,1,1,1,1,4,2,0,0,0,0,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,-1,1,1,-1,1,ME - Congressional District 1,-6,2
ANES 2020-22 Social Media Study 20230705,67,1,51,1,4,1,2,9,MO,2,4,1,1,1,1,4,2,0,0,0,0,1,4,2,2,11,-1,2,2,2,1,1,3,1,1,1,2,2,2,1,-1,2,MO - Congressional District 4,MO - Congressional District 4,2
ANES 2020-22 Social Media Study 20230705,68,2,64,1,2,1,2,17,IL,2,3,1,1,1,1,2,2,0,0,0,0,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,IL - Congressional District 2,AZ - Congressional District 4,1
ANES 2020-22 Social Media Study 20230705,69,1,55,1,1,5,6,14,NJ,1,2,1,1,1,1,2,1,0,0,0,0,1,5,2,2,2,2,2,1,2,1,1,1,2,2,2,2,-1,-1,-1,-1,1,NJ - Congressional District 12,NJ - Congressional District 12,2
ANES 2020-22 Social Media Study 20230705,70,1,42,1,4,1,1,13,AZ,4,8,1,1,2,1,4,2,0,0,0,0,2,4,2,2,10,-1,2,1,2,1,2,2,2,2,2,2,-1,-1,-1,-1,1,AZ - Congressional District 9,-6,2
ANES 2020-22 Social Media Study 20230705,71,2,74,1,3,1,5,9,FL,3,5,1,1,1,1,3,2,0,0,0,0,2,3,2,2,1,1,2,1,1,1,2,1,2,1,2,2,-1,1,-1,-1,1,FL - Congressional District 1,FL - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,72,2,73,1,3,1,5,10,MA,1,1,1,1,1,1,3,2,0,0,0,0,2,2,2,2,12,1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,MA - Congressional District 1,-6,2
ANES 2020-22 Social Media Study 20230705,73,2,76,1,5,1,5,11,ID,4,8,1,1,1,1,4,2,0,0,0,0,2,3,2,2,14,-1,2,1,1,1,1,1,1,1,2,2,1,1,-1,-1,1,ID - Congressional District 1,ID - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,74,2,39,1,4,1,1,1,OR,4,9,1,0,1,1,2,6,0,0,0,0,4,4,2,2,11,-1,2,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,OR - Congressional District 3,OR - Congressional District 3,1
ANES 2020-22 Social Media Study 20230705,75,1,20,4,1,5,4,10,NJ,1,2,1,1,1,3,4,6,0,0,0,1,4,4,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NJ - Congressional District 10,NJ - Congressional District 10,2
ANES 2020-22 Social Media Study 20230705,76,2,39,1,4,6,1,14,IL,2,3,1,1,1,1,4,4,0,0,0,0,1,3,2,2,1,1,2,1,1,2,1,3,2,1,1,2,-1,1,1,-1,1,IL - Congressional District 13,IL - Congressional District 13,2
ANES 2020-22 Social Media Study 20230705,77,1,63,1,3,5,5,3,MI,2,3,1,1,2,3,5,1,0,0,0,0,1,2,1,2,11,-1,2,2,2,1,1,2,1,1,2,2,1,1,-1,-1,2,MI - Congressional District 5,MI - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,78,1,25,1,3,1,2,9,PA,1,2,1,1,2,3,4,2,0,0,0,0,2,5,2,2,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,2,PA - Congressional District 16,PA - Congressional District 16,4
ANES 2020-22 Social Media Study 20230705,79,1,60,1,2,3,1,7,WI,2,3,0,1,1,1,4,1,0,0,0,0,1,3,2,2,11,-1,2,1,1,2,1,2,2,2,2,2,-1,-1,-1,-1,1,WI - Congressional District 6,WI - Congressional District 6,2
ANES 2020-22 Social Media Study 20230705,80,2,58,4,3,5,1,5,CA,4,9,1,1,2,3,4,3,0,0,0,0,2,4,2,2,10,-1,1,2,2,2,2,3,2,2,1,2,-1,-1,2,-1,1,CA - Congressional District 38,CA - Congressional District 38,2
ANES 2020-22 Social Media Study 20230705,81,2,39,2,3,6,1,10,TN,3,6,1,1,2,1,4,6,0,0,0,1,4,2,2,2,12,2,2,1,2,1,1,1,2,1,1,2,-1,-7,-7,-1,1,TN - Congressional District 5,TN - Congressional District 5,2
ANES 2020-22 Social Media Study 20230705,82,1,41,1,3,5,1,9,CA,4,9,1,1,2,3,4,1,0,0,0,0,1,4,2,2,10,-1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,CA - Congressional District 1,CA - Congressional District 1,2
ANES 2020-22 Social Media Study 20230705,83,2,27,1,2,1,1,9,OK,3,7,1,0,2,3,4,2,0,0,0,0,2,3,2,2,12,1,2,2,2,1,1,2,2,1,2,2,-1,1,-1,-1,1,OK - Congressional District 4,OK - Congressional District 4,3
ANES 2020-22 Social Media Study 20230705,84,1,61,1,3,6,1,17,CA,4,9,1,1,1,2,4,2,0,0,0,0,2,4,2,2,1,1,2,1,2,1,2,1,2,1,2,2,-1,1,-1,-1,1,CA - Congressional District 52,CA - Congressional District 52,2
ANES 2020-22 Social Media Study 20230705,85,1,64,3,5,1,2,18,CA,4,9,1,1,1,1,2,3,0,0,0,0,3,4,2,2,10,-1,2,1,1,1,2,1,2,1,2,1,-1,2,-1,2,1,CA - Congressional District 27,CA - Congressional District 27,3
ANES 2020-22 Social Media Study 20230705,86,1,23,1,3,5,1,16,CA,4,9,1,1,1,1,4,5,0,0,0,0,4,4,2,2,11,-1,2,2,2,1,1,3,2,2,1,1,-1,-1,1,1,1,CA - Congressional District 39,-6,3
ANES 2020-22 Social Media Study 20230705,87,2,39,1,5,1,1,8,MA,1,1,1,1,2,3,4,4,0,0,2,0,2,5,2,2,14,-1,1,1,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,MA - Congressional District 7,MA - Congressional District 7,4
ANES 2020-22 Social Media Study 20230705,88,2,61,1,5,3,1,14,MI,2,3,1,1,1,1,2,1,0,0,0,0,1,4,2,2,10,-1,2,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,1,MI - Congressional District 8,MI - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,89,1,67,1,5,1,1,15,MD,3,5,1,1,1,1,2,2,0,0,0,0,2,3,2,2,1,1,2,1,2,1,2,1,2,2,2,2,-1,-1,-1,-1,1,MD - Congressional District 4,MD - Congressional District 4,1
ANES 2020-22 Social Media Study 20230705,90,1,78,1,4,1,5,15,MD,3,5,1,1,1,1,3,2,0,0,0,0,2,4,2,2,2,2,2,1,1,2,2,2,2,1,2,2,-1,1,-1,-1,1,MD - Congressional District 8,MD - Congressional District 8,2
ANES 2020-22 Social Media Study 20230705,91,2,61,1,3,3,1,3,PA,1,2,1,1,1,1,1,1,0,0,0,0,1,4,2,2,12,1,2,2,1,1,1,2,2,1,2,2,-1,1,-1,-1,-1,PA - Congressional District 13,PA - Congressional District 13,1
ANES 2020-22 Social Media Study 20230705,92,1,65,1,3,1,1,12,NE,2,4,1,1,2,2,4,2,0,0,0,0,2,3,2,2,14,2,1,1,1,1,2,1,2,2,2,2,-1,-1,-1,-1,2,NE - Congressional District 2,NE - Congressional District 2,1
ANES 2020-22 Social Media Study 20230705,93,1,39,1,3,1,1,13,TX,3,7,1,1,1,1,2,6,0,1,4,0,2,4,1,2,11,-1,2,2,2,1,1,2,2,1,1,2,-1,2,2,-1,1,TX - Congressional District 10,-7,2
ANES 2020-22 Social Media Study 20230705,94,1,58,4,1,1,1,7,TX,3,7,0,0,1,4,4,6,0,2,2,1,4,3,2,2,1,1,1,-1,-1,-1,-1,-1,2,1,1,1,-1,-1,-1,-1,1,TX - Congressional District 19,TX - Congressional District 19,2
ANES 2020-22 Social Media Study 20230705,95,1,46,1,4,1,1,15,FL,3,5,1,1,1,1,4,3,0,0,0,0,1,3,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,-1,1,-1,1,FL - Congressional District 13,FL - Congressional District 13,2
ANES 2020-22 Social Media Study 20230705,96,2,28,3,3,6,2,6,MO,2,4,0,1,2,3,4,5,0,0,0,0,4,2,2,2,10,-1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,MO - Congressional District 7,MO - Congressional District 7,1
ANES 2020-22 Social Media Study 20230705,97,1,39,4,3,1,1,11,CA,4,9,1,1,2,1,4,2,0,0,0,0,2,4,2,2,12,1,1,2,2,1,1,1,2,1,1,1,-1,-1,-1,-1,1,CA - Congressional District 43,CA - Congressional District 43,1
ANES 2020-22 Social Media Study 20230705,98,2,78,1,4,5,5,15,CA,4,9,1,1,1,1,3,2,0,0,0,0,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,-1,1,-1,-1,1,CA - Congressional District 27,CA - Congressional District 27,2
ANES 2020-22 Social Media Study 20230705,99,1,60,1,4,1,5,18,TX,3,7,1,1,1,1,2,2,0,0,0,0,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,1,TX - Congressional District 7,TX - Congressional District 7,3
ANES 2020-22 Social Media Study 20230705,100,2,59,1,3,3,1,9,OR,4,9,1,1,2,3,4,3,0,0,0,0,3,3,2,2,14,1,2,2,1,2,2,2,2,1,2,2,-1,1,-1,-1,1,OR - Congressional District 1,OR - Congressional District 1,1
ANES 2020-22 Social Media Study 20230705,101,1,38,1,4,1,2,11,UT,4,8,1,1,2,1,4,2,0,0,0,0,2,5,2,2,12,2,2,2,2,2,1,2,2,1,1,2,-1,1,1,-1,1,UT - Congressional District 3,UT - Congressional District 3,4
